version,year,correct,incorrect,accuracy,lower,upper
v99.99.99,1910,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1911,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1912,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1913,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1914,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1915,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1916,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1917,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1918,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1919,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1920,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1921,2,4,0.3333333333333333,0.1287563928042427,0.658738563844664
v99.99.99,1922,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1923,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1924,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1925,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1926,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1927,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1928,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1929,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1930,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1931,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1932,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1933,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1934,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1935,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1936,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1937,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1938,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1939,3,1,0.75,0.3425916819988613,0.923559608587671
v99.99.99,1940,4,2,0.6666666666666666,0.341261436155336,0.8712436071957572
v99.99.99,1941,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1942,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1943,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1944,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1945,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1946,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1947,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1948,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1949,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1950,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1951,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1952,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1953,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1954,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1955,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1956,3,2,0.6,0.2713383725197525,0.8468388820247768
v99.99.99,1957,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1958,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1959,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1960,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1961,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1962,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1963,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1964,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1965,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1966,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1967,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1968,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1969,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1970,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1971,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1972,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1973,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1974,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1975,2,0,1.0,0.3684031498640387,0.9830475724915585
