pdf_url,docDate
https://pdf.swedeb.se/riksdagen-records-pdf/1904/prot-1904--fk--017.pdf,1904-02-17
https://pdf.swedeb.se/riksdagen-records-pdf/1905/prot-1905--ak--008.pdf,1905-02-04
https://pdf.swedeb.se/riksdagen-records-pdf/1905/prot-1905--fk--047.pdf,1905-05-16
https://pdf.swedeb.se/riksdagen-records-pdf/1906/prot-1906--ak--004.pdf,1906-01-23
https://pdf.swedeb.se/riksdagen-records-pdf/1906/prot-1906--ak--004.pdf,1906-01-24
https://pdf.swedeb.se/riksdagen-records-pdf/1906/prot-1906--fk--019.pdf,1906-03-02
https://pdf.swedeb.se/riksdagen-records-pdf/1906/prot-1906--fk--019.pdf,1906-03-03
https://pdf.swedeb.se/riksdagen-records-pdf/1907/prot-1907--ak--062.pdf,1907-05-21
https://pdf.swedeb.se/riksdagen-records-pdf/1907/prot-1907--fk--022.pdf,1907-03-28
https://pdf.swedeb.se/riksdagen-records-pdf/1908/prot-1908--ak--027.pdf,1908-03-14
https://pdf.swedeb.se/riksdagen-records-pdf/1908/prot-1908--fk--053.pdf,1908-05-15
https://pdf.swedeb.se/riksdagen-records-pdf/1909/prot-1909--ak--034.pdf,1909-03-25
https://pdf.swedeb.se/riksdagen-records-pdf/1909/prot-1909--ak--034.pdf,1909-03-26
https://pdf.swedeb.se/riksdagen-records-pdf/1909/prot-1909--ak--034.pdf,1909-03-27
https://pdf.swedeb.se/riksdagen-records-pdf/1909/prot-1909--fk--025.pdf,1909-04-02
https://pdf.swedeb.se/riksdagen-records-pdf/1910/prot-1910--ak--040.pdf,1910-05-04
https://pdf.swedeb.se/riksdagen-records-pdf/1910/prot-1910--ak--040.pdf,1910-05-06
https://pdf.swedeb.se/riksdagen-records-pdf/1910/prot-1910--fk--006.pdf,1910-02-10
https://pdf.swedeb.se/riksdagen-records-pdf/1910/prot-1910--fk--006.pdf,1910-02-12
https://pdf.swedeb.se/riksdagen-records-pdf/1911/prot-1911--ak--045.pdf,1911-05-11
https://pdf.swedeb.se/riksdagen-records-pdf/1911/prot-1911--fk--014.pdf,1911-03-18
https://pdf.swedeb.se/riksdagen-records-pdf/1911/prot-1911--fk--014.pdf,1911-03-21
https://pdf.swedeb.se/riksdagen-records-pdf/1912/prot-1912--ak--031.pdf,1912-04-18
https://pdf.swedeb.se/riksdagen-records-pdf/1912/prot-1912--fk--016.pdf,1912-03-13
https://pdf.swedeb.se/riksdagen-records-pdf/1912/prot-1912--fk--016.pdf,1912-03-15
https://pdf.swedeb.se/riksdagen-records-pdf/1913/prot-1913--ak--026.pdf,1913-04-02
https://pdf.swedeb.se/riksdagen-records-pdf/1913/prot-1913--ak--026.pdf,1913-04-03
https://pdf.swedeb.se/riksdagen-records-pdf/1913/prot-1913--fk--003.pdf,1913-01-29
https://pdf.swedeb.se/riksdagen-records-pdf/1913/prot-1913--fk--003.pdf,1913-02-01
https://pdf.swedeb.se/riksdagen-records-pdf/1913/prot-1913--fk--003.pdf,1913-02-04
https://pdf.swedeb.se/riksdagen-records-pdf/1913/prot-1913--fk--003.pdf,1913-02-05
https://pdf.swedeb.se/riksdagen-records-pdf/1914/prot-1914-b-ak--074.pdf,1914-08-28
https://pdf.swedeb.se/riksdagen-records-pdf/1914/prot-1914-b-fk--030.pdf,1914-07-08
https://pdf.swedeb.se/riksdagen-records-pdf/1915/prot-1915--ak--009.pdf,1915-01-26
https://pdf.swedeb.se/riksdagen-records-pdf/1915/prot-1915--fk--055.pdf,1915-04-27
https://pdf.swedeb.se/riksdagen-records-pdf/1916/prot-1916--ak--021.pdf,1916-02-15
https://pdf.swedeb.se/riksdagen-records-pdf/1916/prot-1916--fk--077.pdf,1916-05-27
https://pdf.swedeb.se/riksdagen-records-pdf/1917/prot-1917--ak--085.pdf,1917-12-18
https://pdf.swedeb.se/riksdagen-records-pdf/1917/prot-1917--fk--024.pdf,1917-03-21
https://pdf.swedeb.se/riksdagen-records-pdf/1918/prot-1918--ak--048.pdf,1918-05-02
https://pdf.swedeb.se/riksdagen-records-pdf/1918/prot-1918--fk--054.pdf,1918-06-14
https://pdf.swedeb.se/riksdagen-records-pdf/1919/prot-1919--ak--038.pdf,1919-04-15
https://pdf.swedeb.se/riksdagen-records-pdf/1919/prot-1919--fk--037.pdf,1919-05-14
https://pdf.swedeb.se/riksdagen-records-pdf/1919/prot-1919--fk--037.pdf,1919-05-16
https://pdf.swedeb.se/riksdagen-records-pdf/1920/prot-1920--ak--030.pdf,1920-03-17
https://pdf.swedeb.se/riksdagen-records-pdf/1920/prot-1920--fk--045.pdf,1920-05-11
https://pdf.swedeb.se/riksdagen-records-pdf/1921/prot-1921--ak--038.pdf,1921-05-04
https://pdf.swedeb.se/riksdagen-records-pdf/1921/prot-1921--fk--026.pdf,1921-04-20
https://pdf.swedeb.se/riksdagen-records-pdf/1921/prot-1921--fk--026.pdf,1921-04-22
https://pdf.swedeb.se/riksdagen-records-pdf/1922/prot-1922--ak--018.pdf,1922-03-15
https://pdf.swedeb.se/riksdagen-records-pdf/1922/prot-1922--ak--018.pdf,1922-03-17
https://pdf.swedeb.se/riksdagen-records-pdf/1922/prot-1922--fk--022.pdf,1922-04-01
https://pdf.swedeb.se/riksdagen-records-pdf/1923/prot-1923--ak--039.pdf,1923-05-23
https://pdf.swedeb.se/riksdagen-records-pdf/1923/prot-1923--fk--023.pdf,1923-04-05
https://pdf.swedeb.se/riksdagen-records-pdf/1923/prot-1923--fk--023.pdf,1923-04-06
https://pdf.swedeb.se/riksdagen-records-pdf/1924/prot-1924--ak--034.pdf,1924-05-10
https://pdf.swedeb.se/riksdagen-records-pdf/1924/prot-1924--ak--034.pdf,1924-05-13
https://pdf.swedeb.se/riksdagen-records-pdf/1924/prot-1924--fk--040.pdf,1924-05-24
https://pdf.swedeb.se/riksdagen-records-pdf/1924/prot-1924--fk--040.pdf,1924-05-27
https://pdf.swedeb.se/riksdagen-records-pdf/1925/prot-1925--ak--002.pdf,1925-01-12
https://pdf.swedeb.se/riksdagen-records-pdf/1925/prot-1925--ak--002.pdf,1925-01-14
https://pdf.swedeb.se/riksdagen-records-pdf/1925/prot-1925--fk--006.pdf,1925-01-28
https://pdf.swedeb.se/riksdagen-records-pdf/1925/prot-1925--fk--006.pdf,1925-01-31
https://pdf.swedeb.se/riksdagen-records-pdf/1925/prot-1925--fk--006.pdf,1925-02-01
https://pdf.swedeb.se/riksdagen-records-pdf/1926/prot-1926--ak--003.pdf,1926-01-18
https://pdf.swedeb.se/riksdagen-records-pdf/1926/prot-1926--fk--028.pdf,1926-04-23
https://pdf.swedeb.se/riksdagen-records-pdf/1926/prot-1926--fk--028.pdf,1926-04-24
https://pdf.swedeb.se/riksdagen-records-pdf/1927/prot-1927--ak--031.pdf,1927-05-14
https://pdf.swedeb.se/riksdagen-records-pdf/1927/prot-1927--fk--032.pdf,1927-05-19
https://pdf.swedeb.se/riksdagen-records-pdf/1928/prot-1928--ak--034.pdf,1928-05-12
https://pdf.swedeb.se/riksdagen-records-pdf/1928/prot-1928--fk--037.pdf,1928-05-29
https://pdf.swedeb.se/riksdagen-records-pdf/1929/prot-1929--ak--038.pdf,1929-05-21
https://pdf.swedeb.se/riksdagen-records-pdf/1929/prot-1929--ak--038.pdf,1929-05-22
https://pdf.swedeb.se/riksdagen-records-pdf/1929/prot-1929--fk--006.pdf,1929-01-31
https://pdf.swedeb.se/riksdagen-records-pdf/1929/prot-1929--fk--006.pdf,1929-02-02
https://pdf.swedeb.se/riksdagen-records-pdf/1929/prot-1929--fk--006.pdf,1929-02-06
https://pdf.swedeb.se/riksdagen-records-pdf/1930/prot-1930--ak--026.pdf,1930-04-09
https://pdf.swedeb.se/riksdagen-records-pdf/1930/prot-1930--ak--026.pdf,1930-04-17
https://pdf.swedeb.se/riksdagen-records-pdf/1930/prot-1930--fk--044.pdf,1930-06-03
https://pdf.swedeb.se/riksdagen-records-pdf/1931/prot-1931--ak--015.pdf,1931-02-27
https://pdf.swedeb.se/riksdagen-records-pdf/1931/prot-1931--ak--015.pdf,1931-02-28
https://pdf.swedeb.se/riksdagen-records-pdf/1931/prot-1931--fk--039.pdf,1931-05-20
https://pdf.swedeb.se/riksdagen-records-pdf/1932/prot-1932--ak--031.pdf,1932-04-06
https://pdf.swedeb.se/riksdagen-records-pdf/1932/prot-1932--fk--047.pdf,1932-06-08
https://pdf.swedeb.se/riksdagen-records-pdf/1933/prot-1933--ak--044.pdf,1933-06-03
https://pdf.swedeb.se/riksdagen-records-pdf/1933/prot-1933--ak--044.pdf,1933-06-07
https://pdf.swedeb.se/riksdagen-records-pdf/1933/prot-1933--fk--034.pdf,1933-05-06
https://pdf.swedeb.se/riksdagen-records-pdf/1933/prot-1933--fk--034.pdf,1933-05-09
https://pdf.swedeb.se/riksdagen-records-pdf/1934/prot-1934--ak--024.pdf,1934-04-10
https://pdf.swedeb.se/riksdagen-records-pdf/1934/prot-1934--ak--024.pdf,1934-04-11
https://pdf.swedeb.se/riksdagen-records-pdf/1934/prot-1934--fk--007.pdf,1934-02-07
https://pdf.swedeb.se/riksdagen-records-pdf/1934/prot-1934--fk--007.pdf,1934-02-09
https://pdf.swedeb.se/riksdagen-records-pdf/1935/prot-1935--ak--007.pdf,1935-01-26
https://pdf.swedeb.se/riksdagen-records-pdf/1935/prot-1935--ak--007.pdf,1935-01-29
https://pdf.swedeb.se/riksdagen-records-pdf/1935/prot-1935--fk--032.pdf,1935-05-15
https://pdf.swedeb.se/riksdagen-records-pdf/1935/prot-1935--fk--032.pdf,1935-05-17
https://pdf.swedeb.se/riksdagen-records-pdf/1936/prot-1936--ak--021.pdf,1936-04-01
https://pdf.swedeb.se/riksdagen-records-pdf/1936/prot-1936--fk--024.pdf,1936-04-16
https://pdf.swedeb.se/riksdagen-records-pdf/1937/prot-1937--ak--014.pdf,1937-02-27
https://pdf.swedeb.se/riksdagen-records-pdf/1937/prot-1937--fk--006.pdf,1937-01-26
https://pdf.swedeb.se/riksdagen-records-pdf/1937/prot-1937--fk--006.pdf,1937-01-27
https://pdf.swedeb.se/riksdagen-records-pdf/1938/prot-1938--ak--026.pdf,1938-04-05
https://pdf.swedeb.se/riksdagen-records-pdf/1938/prot-1938--ak--026.pdf,1938-04-06
https://pdf.swedeb.se/riksdagen-records-pdf/1938/prot-1938--ak--026.pdf,1938-04-08
https://pdf.swedeb.se/riksdagen-records-pdf/1938/prot-1938--fk--021.pdf,1938-03-18
https://pdf.swedeb.se/riksdagen-records-pdf/1939/prot-1939--ak--001.pdf,1939-01-10
https://pdf.swedeb.se/riksdagen-records-pdf/1939/prot-1939--fk--041.pdf,1939-06-13
https://pdf.swedeb.se/riksdagen-records-pdf/1939/prot-1939--fk--041.pdf,1939-06-15
