path,first_date,last_date
data/1912/prot-1912--fk--016.xml,1912-03-13,1912-03-15
data/1913/prot-1913--ak--026.xml,1913-04-02,1913-04-03
data/1913/prot-1913--fk--003.xml,1913-01-29,1913-02-05
data/1914/prot-1914-b-ak--074.xml,1914-08-28,
data/1914/prot-1914-b-fk--030.xml,1914-07-08,
data/1915/prot-1915--ak--009.xml,1915-01-26,
data/1915/prot-1915--fk--055.xml,1915-04-27,
data/1916/prot-1916--ak--021.xml,1916-02-15,
data/1916/prot-1916--fk--077.xml,1916-05-27,
data/1917/prot-1917--ak--085.xml,1917-12-18,
data/1917/prot-1917--fk--024.xml,1917-03-21,
data/1918/prot-1918--ak--048.xml,1918-05-02,
data/1918/prot-1918--fk--054.xml,1918-06-14,
data/1919/prot-1919--ak--038.xml,1919-04-15,
data/1919/prot-1919--fk--037.xml,1919-05-14,1919-05-16
data/1920/prot-1920--ak--030.xml,1920-03-17,
data/1920/prot-1920--fk--045.xml,1920-05-11,
data/1921/prot-1921--ak--038.xml,1921-05-04,
data/1921/prot-1921--fk--026.xml,1921-04-20,1921-04-22
data/1922/prot-1922--ak--018.xml,1922-03-15,1922-03-17
data/1922/prot-1922--fk--022.xml,1922-04-01,
data/1923/prot-1923--ak--039.xml,1923-05-23,
data/1923/prot-1923--fk--023.xml,1923-04-05,1923-04-06
data/1924/prot-1924--ak--034.xml,1924-05-10,1924-05-13
data/1924/prot-1924--fk--040.xml,1924-05-24,1924-05-27
data/1925/prot-1925--ak--002.xml,1925-01-12,1925-01-14
data/1925/prot-1925--fk--006.xml,1925-01-28,1925-02-01
data/1926/prot-1926--ak--003.xml,1926-01-18,
data/1926/prot-1926--fk--028.xml,1926-04-23,1926-04-24
data/1927/prot-1927--ak--031.xml,1927-05-14,
data/1927/prot-1927--fk--032.xml,1927-05-19,
data/1928/prot-1928--ak--034.xml,1928-05-12,
data/1928/prot-1928--fk--037.xml,1928-05-29,
data/1929/prot-1929--ak--038.xml,1929-05-21,1929-05-22
data/1929/prot-1929--fk--006.xml,1929-01-31,1929-02-06
data/1930/prot-1930--ak--026.xml,1930-04-09,1930-04-17
data/1930/prot-1930--fk--044.xml,1930-06-03,
data/1931/prot-1931--ak--015.xml,1931-02-27,1931-02-28
data/1931/prot-1931--fk--039.xml,1931-05-20,
data/1932/prot-1932--ak--031.xml,1932-04-06,
data/1932/prot-1932--fk--047.xml,1932-06-08,
data/1933/prot-1933--ak--044.xml,1933-06-03,1933-06-07
data/1933/prot-1933--fk--034.xml,1933-05-06,1933-05-09
data/1934/prot-1934--ak--024.xml,1934-04-10,1934-04-11
data/1934/prot-1934--fk--007.xml,1934-02-07,1934-02-09
data/1935/prot-1935--ak--007.xml,1935-01-26,1935-01-29
data/1935/prot-1935--fk--032.xml,1935-05-15,1935-05-7
data/1936/prot-1936--ak--021.xml,1936-04-01,
data/1936/prot-1936--fk--024.xml,1936-04-16,
data/1937/prot-1937--ak--014.xml,1937-02-27,
data/1937/prot-1937--fk--006.xml,1937-01-26,1937-01-27
data/1938/prot-1938--ak--026.xml,1938-04-05,1938-04-08
data/1938/prot-1938--fk--021.xml,1938-03-18,
data/1939/prot-1939--ak--001.xml,1939-01-10,
data/1939/prot-1939--fk--041.xml,1939-06-13,1939-06-17
data/1940/prot-1940--ak--031.xml,1940-05-14,1940-05-18
data/1940/prot-1940--fk--004.xml,1940-01-20,1940-01-23
data/1941/prot-1941--ak--050.xml,1941-12-03,1941-12-10
data/1941/prot-1941--fk--009.xml,1941-02-18,1941-02-19
data/1942/prot-1942--ak--007.xml,1942-02-10,1942-02-14
data/1942/prot-1942--fk--028.xml,1942-11-02,1942-11-03
data/1943/prot-1943--ak--012.xml,1943-03-30,1943-03-31
data/1943/prot-1943--fk--031.xml,1943-11-09,1943-11-17
data/1944/prot-1944--ak--009.xml,1944-03-07,1944-03-11
data/1944/prot-1944--fk--015.xml,1944-04-25,1944-05-02
data/1945/prot-1945--ak--017.xml,1945-04-19,
data/1945/prot-1945--fk--004.xml,1945-01-18,1945-01-22
data/1946/prot-1946--ak--025.xml,1946-06-14,1946-06-18
data/1946/prot-1946--fk--001.xml,1946-01-10,1946-01-16
data/1947/prot-1947--ak--002.xml,1947-01-17,
data/1947/prot-1947--fk--019.xml,1947-04-26,1947-05-02
data/1948/prot-1948--ak--011.xml,1948-03-13,1948-03-16
data/1948/prot-1948--fk--011.xml,1948-03-13,1948-03-17
data/1949/prot-1949--ak--024.xml,1949-10-17,1949-10-18
data/1949/prot-1949--fk--031.xml,1949-12-06,1949-12-07
data/1950/prot-1950--ak--012.xml,1950-03-23,1950-03-29
data/1950/prot-1950--fk--006.xml,1950-02-11,1950-02-15
data/1951/prot-1951--ak--029.xml,1951-10-27,1951-10-31
data/1951/prot-1951--fk--023.xml,1951-05-26,
data/1952/prot-1952--ak--004.xml,1952-01-30,1952-02-06
data/1952/prot-1952--fk--031.xml,1952-12-06,1952-12-10
data/1953/prot-1953--ak--027.xml,1953-11-03,1953-11-04
data/1953/prot-1953--fk--004.xml,1953-01-31,1953-02-04
data/1954/prot-1954--ak--031.xml,1954-11-27,1954-12-01
data/1954/prot-1954--fk--001.xml,1954-01-11,1954-01-15
data/1955/prot-1955--ak--016.xml,1955-04-29,1955-05-04
data/1955/prot-1955--fk--004.xml,1955-02-04,1955-02-09
data/1956/prot-1956--ak--019.xml,1956-05-18,1956-05-23
data/1956/prot-1956--fk--009.xml,1956-03-02,1956-03-07
data/1957/prot-1957--ak--002.xml,1957-01-21,1957-01-22
data/1957/prot-1957--fk--027.xml,1957-11-22,1957-11-27
data/1958/prot-1958-a-fk--002.xml,1958-01-21,1958-01-22
data/1958/prot-1958-b-ak--013.xml,1958-11-28,1958-12-03
data/1959/prot-1959--ak--007.xml,1959-03-06,1959-03-11
data/1959/prot-1959--fk--006.xml,1959-02-27,1959-03-04
data/1960/prot-1960--ak--025.xml,1960-11-08,1960-11-09
data/1960/prot-1960--fk--019.xml,1960-05-23,1960-05-25
data/1961/prot-1961--ak--030.xml,1961-11-10,1961-11-15
data/1961/prot-1961--fk--020.xml,1961-05-17,
data/1962/prot-1962--ak--030.xml,1962-11-06,1962-11-09
data/1962/prot-1962--fk--014.xml,1962-03-30,1962-04-04
data/1963/prot-1963--ak--024.xml,1963-05-20,1963-05-22
data/1963/prot-1963--fk--011.xml,1963-03-15,1963-03-20
data/1964/prot-1964--ak--003.xml,1964-01-21,1964-01-22
data/1964/prot-1964--fk--008.xml,1964-02-18,1964-02-21
data/1965/prot-1965--ak--013.xml,1965-03-23,1965-03-24
data/1965/prot-1965--fk--003.xml,1965-01-19,
data/1966/prot-1966--ak--016.xml,1966-04-13,
data/1966/prot-1966--fk--037.xml,1966-12-08,1966-12-09
data/1967/prot-1967--ak--038.xml,1967-10-26,1967-10-27
data/1967/prot-1967--fk--046.xml,1967-11-23,1967-11-24
data/1968/prot-1968--ak--041.xml,1968-12-03,1968-12-04
data/1968/prot-1968--fk--021.xml,1968-05-02,1968-05-03
data/1969/prot-1969--ak--014.xml,1969-03-27,1969-03-28
data/1969/prot-1969--fk--039.xml,1969-12-02,1969-12-03
data/1970/prot-1970--ak--037.xml,1970-11-10,1970-11-13
data/1970/prot-1970--fk--012.xml,1970-03-19,1970-03-20
data/1971/prot-1971--074.xml,1971-04-29,1971-04-30
data/1972/prot-1972--006.xml,1972-01-18,1972-01-21
data/1973/prot-1973--037.xml,1973-03-06,1973-03-07
data/1974/prot-1974--101.xml,1974-10-16,1974-10-18
data/1975/prot-1975--036.xml,1975-03-13,1975-03-18
data/197576/prot-197576--117.xml,1976-05-05,
data/197677/prot-197677--046.xml,1976-12-15,
data/197778/prot-197778--125.xml,1978-04-20,
data/197879/prot-197879--099.xml,1979-03-08,1979-03-13
data/197980/prot-197980--158.xml,1980-05-30,1980-06-02
data/1980/prot-1980-urtima-005.xml,1980-09-04,1980-09-05
data/198081/prot-198081--024.xml,1980-11-10,1980-11-14
data/198182/prot-198182--097.xml,1982-03-11,1982-03-16
data/198283/prot-198283--073.xml,1983-02-03,
data/198384/prot-198384--122.xml,1984-04-11,
data/198485/prot-198485--113.xml,1985-04-10,
data/198586/prot-198586--032.xml,1985-11-20,
data/198687/prot-198687--045.xml,1986-12-08,1986-12-09
data/198788/prot-198788--048.xml,1988-01-11,1988-01-15
data/198889/prot-198889--063.xml,1989-02-06,1989-02-08
data/198990/prot-198990--116.xml,1989-05-07,
data/199091/prot-199091--124.xml,,
data/199192/prot-199192--086.xml,,
data/199293/prot-199293--127.xml,,
data/199394/prot-199394--073.xml,,
data/199495/prot-199495--032.xml,1994-11-30,
data/199596/prot-199596--039.xml,1995-12-15,
