version,year,known,unknown,accuracy
v1.6.1,1994,19318,392,0.9801116184677828
v1.6.1,1995,17091,483,0.9725162171389553
v1.6.1,1996,21097,548,0.9746823746823747
v1.6.1,1997,21962,571,0.9746593884524919
v1.6.1,1998,18674,609,0.9684177773168076
v1.6.1,1999,22102,829,0.9638480659369413
v1.6.1,2000,23280,1069,0.9560967596205183
v1.6.1,2001,23186,707,0.9704097434395011
v1.6.1,2002,20403,667,0.968343616516374
v1.6.1,2003,20741,287,0.9863515312916112
v1.6.1,2004,24387,374,0.9848956019546868
v1.6.1,2005,21749,392,0.9822952892823269
v1.6.1,2006,21808,445,0.980002696265672
v1.6.1,2007,25201,515,0.979973557318401
v1.6.1,2008,22293,369,0.9837172359015092
v1.6.1,2009,19779,382,0.981052527156391
v1.6.1,2010,18276,319,0.982844850766335
v1.6.1,2011,18861,356,0.9814747359109122
v1.6.1,2012,19886,400,0.9802819678596076
v1.6.1,2013,22876,310,0.9866298628482705
v1.6.1,2014,20554,333,0.984057068990281
v1.6.1,2015,21442,375,0.9828115689599853
v1.6.1,2016,19668,447,0.9777777777777777
v1.6.1,2017,19897,514,0.974817500367449
v1.6.1,2018,14415,235,0.9839590443686007
v1.6.1,2019,16220,345,0.9791729550256565
v1.6.1,2020,24322,560,0.9774937705972189
v1.6.1,2021,19625,576,0.9714865600712836
v1.6.1,2022,19130,429,0.9780663633110077
v1.6.1,2023,23951,318,0.9868968643124975
v1.6.1,2024,22552,293,0.9871744364193478
