protocol_id	x	facs	github	NROWS	NCOLS	row_to_check	content	tricky	most_probable_line	lev
data/1871/prot-1871--ak--0513.xml	17	https://betalab.kb.se/prot-1871--ak--0513/prot_1871__ak__0513-017.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871--ak--0513.xml#L1356	47	1	39	visar man icke nödvändigheten af ett anslag. Med anledning af den ärade		visar man icke nödvändigheten af ett anslag. med anledning af den ärade	0
data/1871/prot-1871-urtima-ak--0915.xml	2	https://betalab.kb.se/prot-1871-urtima-ak--0915/prot_1871_urtima_ak__0915-002.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871-urtima-ak--0915.xml#L199	40	1	6	§ 4.		§ 4.	0
data/1871/prot-1871-urtima-ak--0915.xml	2	https://betalab.kb.se/prot-1871-urtima-ak--0915/prot_1871_urtima_ak__0915-002.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871-urtima-ak--0915.xml#L199	40	1	23	Herr Carl Ifvarsson . . . . . . . . . . . . . . . . . . . med 176 röster	yes	rerrrrrrr ros sea j. e. johansson i forneby ........... e. key woo os os	48
data/1871/prot-1871-urtima-ak--0915.xml	2	https://betalab.kb.se/prot-1871-urtima-ak--0915/prot_1871_urtima_ak__0915-002.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1871/prot-1871-urtima-ak--0915.xml#L199	40	1	39	C. T. Winkrans . . . . . . . . . . . . . . . . . .  “ 152 “	yes	 j. e. johansson i forneby ........... e. key woo os oso o	38
data/1872/prot-1872--ak--0422.xml	71	https://betalab.kb.se/prot-1872--ak--0422/prot_1872__ak__0422-071.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1872/prot-1872--ak--0422.xml#L5262	39	1	13	Företogs till afgörande Stats-Utskottets memorial N:o 57, med förslag		företogs till afgörande stats-utskottets memorial n:o 57, med förslag	0
data/1872/prot-1872--ak--0422.xml	71	https://betalab.kb.se/prot-1872--ak--0422/prot_1872__ak__0422-071.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1872/prot-1872--ak--0422.xml#L5262	39	1	17	Punkten 1 yttrade:		punkten 1 yttrade:	0
data/1872/prot-1872--ak--0422.xml	71	https://betalab.kb.se/prot-1872--ak--0422/prot_1872__ak__0422-071.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1872/prot-1872--ak--0422.xml#L5262	39	1	24	lagligen kan komma i fråga. Jag inskränker mig alltså till att yrka af-		lagligen kan komma i fråga. jag inskränker mig alltså till att yrka afs	1
data/1873/prot-1873--ak--0422.xml	20	https://betalab.kb.se/prot-1873--ak--0422/prot_1873__ak__0422-020.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--ak--0422.xml#L1527	50	1	19	Sorselevägen.		rne om sorselevägen.	7
data/1873/prot-1873--ak--0422.xml	20	https://betalab.kb.se/prot-1873--ak--0422/prot_1873__ak__0422-020.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--ak--0422.xml#L1527	50	1	22	Det är af Konungens Befallningshafvande nämndt att vintervägarne å de		det är af konungens befallningshafvande nämndt att vintervägarne å de	0
data/1873/prot-1873--ak--0422.xml	20	https://betalab.kb.se/prot-1873--ak--0422/prot_1873__ak__0422-020.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--ak--0422.xml#L1527	50	1	47	handels bedrifvande i dessa trakter mellan de olika rikena gör äfven re-		handels bedrifvande i dessa trakter mellan de olika rikena gör äfven red	1
