version,year,correct,incorrect,accuracy,lower,upper
v99.99.99,1946,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1947,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1948,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1949,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1950,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1951,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1952,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1953,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1954,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1955,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1956,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1957,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1958,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1959,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1960,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1961,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1962,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1963,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1964,4,1,0.8,0.4181965907479741,0.9371501082916456
v99.99.99,1965,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1966,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1967,6,0,1.0,0.6518363448688391,0.9926991680209853
v99.99.99,1968,5,0,1.0,0.6069622310029172,0.9914875553891529
v99.99.99,1969,5,1,0.8333333333333334,0.47929702640869287,0.9466244995297628
v99.99.99,1970,4,0,1.0,0.5492802716530588,0.9897937816869885
v99.99.99,1971,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1972,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1973,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1974,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1975,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1976,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1977,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1978,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1979,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1980,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,1981,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1982,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1983,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1984,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,1985,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1986,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1987,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1988,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,1989,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1990,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,1991,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1992,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1993,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1994,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1995,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1996,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1997,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1998,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1999,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2000,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2001,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2002,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2003,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2004,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2005,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2006,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2007,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2008,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2009,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2010,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2011,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2012,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2013,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2014,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2015,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2016,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2017,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2018,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2019,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2020,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2021,3,0,1.0,0.4728708045015879,0.9872585449014338
